profile_id,condition,control_filler,gender,age_band,race,education,income,party,age,year_birth,ideology,household_size,social_class,region,urbanicity,religion,religiosity,born_again,trust_science_prior
P00030,control,dances,Male,45-59,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Independent,59,1967,"moderate, middle of the road",2,working class,south,"other urban (counties having towns of 10,000 or more)",christian,not very strong,yes,
P00031,control,dances,Male,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,69,1957,extremely liberal,2,working class,midwest,"other urban (counties having towns of 10,000 or more)",none,,no,a great deal
P00032,control,dances,Male,45-59,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,51,1975,slightly liberal,2,middle class,midwest,,other,somewhat strong (vol.),no,
P00033,control,neckties,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,47,1979,"moderate, middle of the road",2,middle class,south,,protestant,,no,only some
P00034,control,dances,Female,45-59,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent,48,1978,"moderate, middle of the road",2,working class,west,,protestant,,no,only some
P00035,control,baseball,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent,51,1975,liberal,1,middle class,northeast,central city of 12 largest smsas,none,,no,a great deal
P00036,control,dances,Female,30-44,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,30,1996,slightly liberal,2,working class,northeast,suburbs of the remaining 100 largest smsas,protestant,,no,only some
P00037,control,baseball,Male,45-59,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Independent,45,1981,"moderate, middle of the road",1,working class,northeast,central city of 12 largest smsas,none,,no,only some
P00038,control,baseball,Female,60+,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Republican,62,1964,conservative,1,working class,south,suburbs of 12 largest smsas,catholic,,no,only some
P00039,control,neckties,Female,30-44,Other,High school diploma / GED,"Less than $30,000",Democrat,35,1991,conservative,3,middle class,midwest,"other rural (counties having no towns of 10,000 or more)",protestant,not very strong,no,a great deal
P00040,control,baseball,Male,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,55,1971,conservative,1,middle class,midwest,suburbs of the remaining 100 largest smsas,protestant,not very strong,yes,only some
P00041,control,neckties,Female,18-29,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,19,2007,conservative,7,middle class,northeast,suburbs of 12 largest smsas,jewish,,no,a great deal
P00042,control,neckties,Female,45-59,Hispanic / Latino,Less than high school,"Less than $30,000",Independent,46,1980,extremely liberal,6,lower class,west,,catholic,not very strong,no,only some
P00043,control,baseball,Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,33,1993,liberal,2,middle class,west,central city of the remainder of the 100 largest smsas,none,,no,only some
P00044,control,neckties,Male,30-44,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,42,1984,extremely liberal,3,working class,south,"other urban (counties having towns of 10,000 or more)",none,,no,a great deal
P00045,control,baseball,Male,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,27,1999,"moderate, middle of the road",2,working class,south,central city of the remainder of the 100 largest smsas,protestant,somewhat strong (vol.),yes,only some
P00046,control,neckties,Female,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,47,1979,extremely conservative,2,working class,south,"other rural (counties having no towns of 10,000 or more)",protestant,,no,only some
P00047,control,neckties,Female,60+,White / Caucasian,Doctorate degree / Ph.D.,"$168,000 or more",Independent,74,1952,slightly liberal,2,middle class,west,,protestant,strong,yes,
P00048,control,dances,Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,33,1993,"moderate, middle of the road",4,middle class,west,,protestant,strong,no,a great deal
P00049,control,baseball,Female,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,42,1984,slightly conservative,2,working class,south,,protestant,,yes,
P00050,control,neckties,Female,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,19,2007,slightly liberal,5,lower class,south,"other rural (counties having no towns of 10,000 or more)",protestant,,yes,only some
P00051,control,baseball,Male,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,34,1992,liberal,3,middle class,midwest,"other urban (counties having towns of 10,000 or more)",none,,no,a great deal
P00052,control,dances,Female,30-44,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Independent,42,1984,"moderate, middle of the road",3,working class,midwest,,protestant,not very strong,yes,only some
P00053,control,dances,Male,30-44,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,39,1987,conservative,3,working class,south,"other urban (counties having towns of 10,000 or more)",protestant,strong,yes,
P00054,control,baseball,Female,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,29,1997,"moderate, middle of the road",5,working class,south,,catholic,not very strong,no,
P00055,control,neckties,Male,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican,55,1971,conservative,2,middle class,west,"other urban (counties having towns of 10,000 or more)",protestant,strong,yes,only some
P00056,control,dances,Male,45-59,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,48,1978,"moderate, middle of the road",3,middle class,south,,protestant,,yes,
P00057,control,neckties,Female,18-29,Hispanic / Latino,Less than high school,"Less than $30,000",Independent,27,1999,liberal,5,working class,south,central city of 12 largest smsas,catholic,not very strong,yes,a great deal
P00058,control,baseball,Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,88,1938,"moderate, middle of the road",1,working class,midwest,"other rural (counties having no towns of 10,000 or more)",protestant,,,
P00059,control,dances,Male,18-29,Black / African American,High school diploma / GED,"$30,000 to $55,999",Independent,20,2006,"moderate, middle of the road",2,middle class,west,suburbs of the remaining 100 largest smsas,buddhism,somewhat strong (vol.),no,a great deal
P00060,control,baseball,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,73,1953,extremely conservative,4,working class,south,,protestant,strong,yes,
P00061,control,dances,Female,45-59,Black / African American,High school diploma / GED,"Less than $30,000",Democrat,47,1979,conservative,4,lower class,south,,protestant,strong,no,
P00062,control,neckties,Female,18-29,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,27,1999,slightly liberal,2,middle class,northeast,suburbs of the remaining 100 largest smsas,catholic,,no,hardly any
P00063,control,neckties,Female,30-44,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,37,1989,"moderate, middle of the road",4,working class,south,"other urban (counties having towns of 10,000 or more)",protestant,,yes,only some
P00064,control,baseball,Female,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,26,2000,conservative,6,middle class,west,central city of 12 largest smsas,protestant,strong,no,only some
P00065,control,dances,Male,18-29,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent,23,2003,"moderate, middle of the road",4,lower class,west,central city of 12 largest smsas,catholic,somewhat strong (vol.),,
P00066,control,baseball,Male,30-44,Black / African American,High school diploma / GED,"$30,000 to $55,999",Independent,42,1984,"moderate, middle of the road",3,working class,south,central city of the remainder of the 100 largest smsas,protestant,,yes,a great deal
P00067,control,neckties,Male,30-44,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Independent,42,1984,"moderate, middle of the road",5,working class,northeast,central city of 12 largest smsas,protestant,somewhat strong (vol.),yes,only some
P00068,control,dances,Male,45-59,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Republican,48,1978,conservative,4,middle class,south,"other urban (counties having towns of 10,000 or more)",protestant,,,
P00069,control,neckties,Female,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,53,1973,"moderate, middle of the road",2,middle class,midwest,,protestant,,no,only some
P00070,control,baseball,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,40,1986,conservative,1,middle class,midwest,central city of the remainder of the 100 largest smsas,none,,no,only some
P00071,control,baseball,Male,45-59,Black / African American,Master's degree / Professional degree,"$168,000 or more",Independent,53,1973,"moderate, middle of the road",5,middle class,west,suburbs of 12 largest smsas,protestant,,,
P00072,control,baseball,Female,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,54,1972,"moderate, middle of the road",4,middle class,west,"other urban (counties having towns of 10,000 or more)",christian,,yes,only some
P00073,control,baseball,Male,45-59,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,59,1967,conservative,2,working class,south,,protestant,strong,yes,only some
P00074,control,baseball,Male,45-59,Hispanic / Latino,Less than high school,"Less than $30,000",Democrat,48,1978,conservative,2,middle class,south,,protestant,not very strong,no,
P00075,control,dances,Female,18-29,Black / African American,Bachelor's degree,"$30,000 to $55,999",Independent,25,2001,"moderate, middle of the road",2,working class,west,,none,,yes,only some
P00076,control,neckties,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,55,1971,conservative,4,middle class,south,,catholic,,no,only some
P00077,control,dances,Female,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,66,1960,slightly conservative,2,middle class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,,yes,a great deal
P00078,control,dances,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,57,1969,slightly liberal,3,middle class,west,"other urban (counties having towns of 10,000 or more)",none,,no,a great deal
P00079,control,dances,Female,60+,Hispanic / Latino,Master's degree / Professional degree,"$56,000 to $99,999",Independent,66,1960,liberal,2,middle class,south,,hinduism,,no,only some
P00080,control,dances,Male,60+,Black / African American,High school diploma / GED,"$100,000 to $167,999",Republican,64,1962,conservative,2,middle class,south,"other urban (counties having towns of 10,000 or more)",protestant,,yes,hardly any
P00081,control,neckties,Male,18-29,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,20,2006,"moderate, middle of the road",4,middle class,south,central city of the remainder of the 100 largest smsas,catholic,not very strong,no,a great deal
P00082,control,neckties,Male,60+,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,68,1958,"moderate, middle of the road",2,middle class,south,suburbs of 12 largest smsas,none,no religion,no,
P00083,control,dances,Male,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,88,1938,slightly conservative,2,middle class,midwest,suburbs of the remaining 100 largest smsas,protestant,,,
P00084,control,dances,Female,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,21,2005,"moderate, middle of the road",2,working class,midwest,,protestant,somewhat strong (vol.),no,hardly any
P00085,control,dances,Male,45-59,Black / African American,Bachelor's degree,"$30,000 to $55,999",Democrat,51,1975,"moderate, middle of the road",1,working class,south,"other urban (counties having towns of 10,000 or more)",none,no religion,yes,a great deal
P00086,control,baseball,Male,30-44,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent,42,1984,"moderate, middle of the road",1,upper class,south,suburbs of the remaining 100 largest smsas,none,no religion,no,a great deal
P00087,control,neckties,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,41,1985,"moderate, middle of the road",4,middle class,northeast,"other urban (counties having towns of 10,000 or more)",none,,no,a great deal
P00088,control,neckties,Female,60+,Other,High school diploma / GED,"$100,000 to $167,999",Independent,61,1965,"moderate, middle of the road",2,working class,west,,catholic,,no,a great deal
P00089,control,dances,Female,45-59,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Independent,55,1971,extremely conservative,2,working class,northeast,,other,,yes,
P00090,control,neckties,Male,18-29,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican,23,2003,slightly conservative,2,middle class,south,,catholic,,no,
P00091,control,neckties,Male,30-44,Black / African American,Some college or Associate's degree,"Less than $30,000",Independent,38,1988,slightly conservative,1,working class,northeast,suburbs of the remaining 100 largest smsas,none,,,
P00092,control,neckties,Female,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,77,1949,"moderate, middle of the road",2,middle class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,somewhat strong (vol.),no,
P00093,control,baseball,Male,30-44,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Independent,32,1994,conservative,3,working class,south,"other rural (counties having no towns of 10,000 or more)",protestant,,yes,only some
P00094,control,neckties,Male,45-59,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,57,1969,"moderate, middle of the road",3,working class,northeast,suburbs of the remaining 100 largest smsas,catholic,,no,only some
P00095,control,baseball,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,63,1963,"moderate, middle of the road",2,middle class,midwest,"other urban (counties having towns of 10,000 or more)",none,no religion,no,a great deal
P00096,control,neckties,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,63,1963,slightly liberal,2,working class,northeast,"other urban (counties having towns of 10,000 or more)",protestant,not very strong,no,
P00097,control,neckties,Female,45-59,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,59,1967,slightly liberal,3,middle class,northeast,suburbs of the remaining 100 largest smsas,catholic,not very strong,no,a great deal
P00098,control,dances,Female,45-59,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Democrat,59,1967,"moderate, middle of the road",2,middle class,west,central city of the remainder of the 100 largest smsas,catholic,strong,no,a great deal
P00099,control,dances,Female,18-29,Black / African American,High school diploma / GED,"Less than $30,000",Independent,19,2007,extremely conservative,1,upper class,south,suburbs of 12 largest smsas,none,,no,
P00100,control,dances,Female,45-59,Hispanic / Latino,Less than high school,"$168,000 or more",Democrat,48,1978,"moderate, middle of the road",4,upper class,south,,protestant,strong,yes,only some
P00101,control,dances,Male,45-59,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,53,1973,liberal,3,working class,northeast,central city of the remainder of the 100 largest smsas,catholic,,no,only some
P00102,control,neckties,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Democrat,19,2007,liberal,3,working class,west,"other urban (counties having towns of 10,000 or more)",catholic,strong,no,
P00103,control,neckties,Female,30-44,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,43,1983,extremely liberal,1,working class,south,"other urban (counties having towns of 10,000 or more)",none,no religion,no,
P00104,control,dances,Female,45-59,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Republican,59,1967,conservative,2,working class,west,,catholic,,no,only some
P00105,control,baseball,Male,30-44,Hispanic / Latino,Master's degree / Professional degree,"$168,000 or more",Democrat,36,1990,liberal,2,working class,south,suburbs of the remaining 100 largest smsas,catholic,,no,a great deal
P00106,control,dances,Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,40,1986,slightly liberal,2,upper class,south,central city of 12 largest smsas,protestant,strong,yes,only some
P00107,control,dances,Female,60+,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Democrat,66,1960,"moderate, middle of the road",2,middle class,south,,catholic,strong,no,
P00108,control,dances,Male,18-29,Black / African American,Less than high school,"$30,000 to $55,999",Independent,29,1997,slightly conservative,2,middle class,south,"other rural (counties having no towns of 10,000 or more)",none,no religion,yes,
P00109,control,neckties,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,54,1972,slightly conservative,2,middle class,south,,protestant,,no,a great deal
P00110,control,neckties,Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,41,1985,liberal,4,middle class,northeast,suburbs of 12 largest smsas,none,,,
P00111,control,baseball,Male,45-59,Black / African American,High school diploma / GED,"Less than $30,000",Independent,47,1979,"moderate, middle of the road",5,middle class,midwest,"other rural (counties having no towns of 10,000 or more)",none,no religion,no,
P00112,control,dances,Female,45-59,Hispanic / Latino,Master's degree / Professional degree,"$168,000 or more",Democrat,54,1972,liberal,2,middle class,west,suburbs of the remaining 100 largest smsas,catholic,not very strong,no,a great deal
P00113,control,neckties,Male,45-59,Hispanic / Latino,Less than high school,"$100,000 to $167,999",Republican,48,1978,conservative,3,working class,northeast,,catholic,,no,only some
P00114,control,dances,Female,60+,Black / African American,High school diploma / GED,"$168,000 or more",Democrat,68,1958,slightly liberal,2,middle class,south,"other rural (counties having no towns of 10,000 or more)",protestant,,,
P00115,control,dances,Male,60+,Hispanic / Latino,Less than high school,"Less than $30,000",Independent,60,1966,"moderate, middle of the road",2,working class,midwest,suburbs of 12 largest smsas,catholic,,yes,hardly any
P00116,control,neckties,Female,60+,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican,64,1962,slightly conservative,3,middle class,northeast,central city of 12 largest smsas,catholic,,no,only some
P00117,control,neckties,Female,45-59,Black / African American,Master's degree / Professional degree,"$168,000 or more",Democrat,53,1973,liberal,2,middle class,south,,protestant,,yes,only some
P00118,control,neckties,Female,60+,Black / African American,Bachelor's degree,"$168,000 or more",Democrat,63,1963,"moderate, middle of the road",5,middle class,midwest,suburbs of 12 largest smsas,christian,strong,yes,only some
P00119,control,neckties,Male,45-59,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Democrat,58,1968,"moderate, middle of the road",2,working class,northeast,,catholic,not very strong,no,a great deal
P00120,control,baseball,Female,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,39,1987,liberal,4,working class,south,"other rural (counties having no towns of 10,000 or more)",none,,no,a great deal
P00121,control,neckties,Female,45-59,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,47,1979,"moderate, middle of the road",2,working class,midwest,"other urban (counties having towns of 10,000 or more)",protestant,strong,yes,a great deal
P00122,control,baseball,Female,45-59,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Independent,53,1973,"moderate, middle of the road",2,upper class,midwest,,hinduism,,no,a great deal
P00123,control,baseball,Male,18-29,White / Caucasian,High school diploma / GED,"Less than $30,000",Other,28,1998,"moderate, middle of the road",2,middle class,northeast,,none,,no,
P00124,control,baseball,Female,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,67,1959,liberal,1,middle class,midwest,suburbs of 12 largest smsas,protestant,strong,no,a great deal
P00125,control,dances,Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,84,1942,slightly liberal,2,middle class,south,suburbs of 12 largest smsas,protestant,not very strong,no,
P00126,control,dances,Male,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,40,1986,slightly conservative,6,middle class,south,suburbs of the remaining 100 largest smsas,protestant,,yes,hardly any
P00127,control,neckties,Male,30-44,Other,Doctorate degree / Ph.D.,"$100,000 to $167,999",Independent,36,1990,slightly liberal,3,working class,south,"other urban (counties having towns of 10,000 or more)",other,,,
P00128,control,neckties,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,79,1947,liberal,1,middle class,west,central city of 12 largest smsas,catholic,not very strong,no,
P00129,control,dances,Female,45-59,Hispanic / Latino,Less than high school,"Less than $30,000",Independent,46,1980,extremely liberal,6,lower class,west,,catholic,not very strong,no,only some
P00130,control,neckties,Male,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent,42,1984,liberal,2,middle class,south,suburbs of the remaining 100 largest smsas,none,no religion,no,a great deal
P00131,control,baseball,Male,30-44,Black / African American,Bachelor's degree,"$100,000 to $167,999",Independent,40,1986,slightly conservative,6,middle class,south,"other urban (counties having towns of 10,000 or more)",none,,yes,a great deal
P00132,control,baseball,Male,60+,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,64,1962,slightly liberal,4,middle class,west,suburbs of the remaining 100 largest smsas,catholic,,yes,a great deal
P00133,control,neckties,Female,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,80,1946,"moderate, middle of the road",2,middle class,south,,protestant,strong,no,only some
P00134,control,neckties,Male,45-59,Hispanic / Latino,Bachelor's degree,"Less than $30,000",Democrat,48,1978,slightly conservative,3,working class,midwest,suburbs of 12 largest smsas,catholic,strong,yes,
P00135,control,neckties,Male,45-59,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,46,1980,"moderate, middle of the road",2,working class,midwest,,catholic,,no,only some
P00136,control,neckties,Male,45-59,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,46,1980,"moderate, middle of the road",5,working class,south,"other rural (counties having no towns of 10,000 or more)",none,no religion,no,
P00137,control,baseball,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,40,1986,liberal,5,working class,midwest,central city of the remainder of the 100 largest smsas,catholic,not very strong,yes,only some
P00138,control,baseball,Male,60+,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Democrat,63,1963,slightly conservative,2,working class,south,,catholic,strong,yes,only some
P00139,control,neckties,Male,18-29,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,18,2008,liberal,6,middle class,south,,protestant,,yes,
P00140,control,dances,Female,30-44,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,33,1993,"moderate, middle of the road",2,middle class,west,suburbs of the remaining 100 largest smsas,none,no religion,no,
P00141,control,dances,Male,45-59,Black / African American,Bachelor's degree,"$168,000 or more",Democrat,59,1967,"moderate, middle of the road",3,middle class,south,suburbs of 12 largest smsas,protestant,,yes,a great deal
P00142,control,neckties,Female,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,28,1998,"moderate, middle of the road",8,working class,west,central city of the remainder of the 100 largest smsas,none,no religion,no,a great deal
P00143,control,neckties,Male,45-59,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,57,1969,slightly conservative,6,working class,west,central city of 12 largest smsas,none,,,
P00144,control,neckties,Male,30-44,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,42,1984,slightly conservative,4,middle class,midwest,suburbs of the remaining 100 largest smsas,protestant,,no,only some
P00145,control,dances,Male,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,76,1950,extremely conservative,2,middle class,northeast,,catholic,not very strong,no,only some
P00146,control,neckties,Female,60+,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Democrat,60,1966,slightly conservative,2,lower class,south,central city of the remainder of the 100 largest smsas,catholic,not very strong,no,
P00147,control,baseball,Female,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,75,1951,slightly liberal,2,middle class,west,suburbs of the remaining 100 largest smsas,protestant,,no,
